Year,Unit,Manure Application,Fertilizer Application
1980,MtN,24.363496729533104,60.62973109
1981,MtN,24.44001339564487,60.737935369999995
1982,MtN,24.6436148776743,61.72761472999999
1983,MtN,24.833571924498845,66.52817497
1984,MtN,25.210682542433737,70.71537595999999
1985,MtN,25.39684641784152,70.67325799
1986,MtN,25.763671050842184,72.54468312
1987,MtN,25.979777335752654,75.71949006999999
1988,MtN,25.91508381328638,79.51774438
1989,MtN,26.224112826110403,78.71388488
1990,MtN,26.371739984547013,77.10962167
1991,MtN,25.92145128849141,75.46942894
1992,MtN,25.059420747506017,74.3092859
1993,MtN,24.86121810247033,72.61388398
1994,MtN,24.957132205071694,73.07360643999999
1995,MtN,24.874061145024758,78.65002112999998
1996,MtN,24.763176616764756,83.16321663
1997,MtN,24.069995701145942,81.32190934
1998,MtN,23.770939640731218,82.78505491
1999,MtN,23.845318927407924,84.97084826999999
2000,MtN,24.042341392948757,81.02468448
2001,MtN,23.957732659135395,82.00177104999999
2002,MtN,24.279045663289768,84.40225848
2003,MtN,24.27528897172547,87.16715199
2004,MtN,24.426103494155434,89.46990770999999
2005,MtN,24.661577092612003,90.10107468
2006,MtN,24.935969722240475,93.01951109999999
2007,MtN,25.168652265519174,96.31800987
2008,MtN,25.49111596052204,94.64575346
2009,MtN,25.746338545298276,97.1657759
2010,MtN,25.950711699199825,101.34026397
2011,MtN,25.81628584056494,104.99442615
2012,MtN,26.05665044398063,105.11502232999999
2013,MtN,26.146967893718266,106.86739081
2014,MtN,26.32246543021625,107.97885340999999
2015,MtN,26.525181097956448,106.65417695999999
2016,MtN,26.823837775676463,107.73083856999999
2017,MtN,27.137656676560287,109.9521042
2018,MtN,27.059965133967108,108.8212215
2019,MtN,26.90692801120175,108.38679726999999
2020,MtN,27.35131267076268,114.65457242
2021,MtN,27.51032364441499,113.08904385
2022,MtN,27.630252596273866,108.05823855
